#,Type,File,Suite,Test Case,Status,Notes
1,Unit,unit/smoke.test.ts,Vitest setup,runs a basic assertion,PASS,
2,Unit,unit/smoke.test.ts,Vitest setup,has access to globals,PASS,
3,Unit,unit/gamification.test.ts,XP_REWARDS,has expected values for all events,PASS,
4,Unit,unit/gamification.test.ts,calculateLevel,returns level 1 for 0 XP,PASS,
5,Unit,unit/gamification.test.ts,calculateLevel,returns level 1 for 99 XP (just below level 2 threshold),PASS,
6,Unit,unit/gamification.test.ts,calculateLevel,returns level 2 at exactly 100 XP,PASS,
7,Unit,unit/gamification.test.ts,calculateLevel,returns level 3 at exactly 300 XP,PASS,
8,Unit,unit/gamification.test.ts,calculateLevel,returns level 5 at 1000 XP,PASS,
9,Unit,unit/gamification.test.ts,calculateLevel,returns level 10 (max) at 9000 XP,PASS,
10,Unit,unit/gamification.test.ts,calculateLevel,returns level 10 for XP beyond 9000,PASS,
11,Unit,unit/gamification.test.ts,calculateLevel,returns level 9 at 6000 XP (one below max),PASS,
12,Unit,unit/gamification.test.ts,xpForLevel,returns 0 for level 1,PASS,
13,Unit,unit/gamification.test.ts,xpForLevel,returns correct threshold for level 2,PASS,
14,Unit,unit/gamification.test.ts,xpForLevel,returns correct threshold for level 10,PASS,
15,Unit,unit/gamification.test.ts,xpForNextLevel,returns level 2 threshold when at level 1,PASS,
16,Unit,unit/gamification.test.ts,xpForNextLevel,returns level 3 threshold when at level 2,PASS,
17,Unit,unit/gamification.test.ts,xpForNextLevel,returns max threshold when already at level 10,PASS,
18,Unit,unit/gamification.test.ts,streakMultiplier,returns 1x for streak of 0,PASS,
19,Unit,unit/gamification.test.ts,streakMultiplier,returns 1x for streak of 1,PASS,
20,Unit,unit/gamification.test.ts,streakMultiplier,returns 1x for streak of 2,PASS,
21,Unit,unit/gamification.test.ts,streakMultiplier,returns 1.5x for streak of 3,PASS,
22,Unit,unit/gamification.test.ts,streakMultiplier,returns 1.5x for streak of 6,PASS,
23,Unit,unit/gamification.test.ts,streakMultiplier,returns 2x for streak of 7,PASS,
24,Unit,unit/gamification.test.ts,streakMultiplier,returns 2x for streak of 30,PASS,
25,Unit,unit/gamification.test.ts,streakMultiplierLabel,returns empty string for streak < 3,PASS,
26,Unit,unit/gamification.test.ts,streakMultiplierLabel,returns 1.5x for streak 3-6,PASS,
27,Unit,unit/gamification.test.ts,streakMultiplierLabel,returns 2x for streak >= 7,PASS,
28,Unit,unit/usage.test.ts,claudePricing,returns Haiku rates for haiku model,PASS,
29,Unit,unit/usage.test.ts,claudePricing,returns Sonnet rates for sonnet model,PASS,
30,Unit,unit/usage.test.ts,claudePricing,defaults to Sonnet rates for unknown model,PASS,
31,Unit,unit/usage.test.ts,claudePricing,Haiku is cheaper than Sonnet on both input and output,PASS,
32,Unit,unit/usage.test.ts,cost calculations,calculates correct Sonnet cost for 1M input + 1M output tokens,PASS,
